ID;PRC;DT_ENTD_PRC;RESULTADO
836;N;22/07/2020;752
837;O;22/07/2020;753
838;A;23/07/2020;1000
839;B;23/07/2020;511
840;C;23/07/2020;542
841;D;23/07/2020;292
842;E;23/07/2020;386
843;F;23/07/2020;668
844;G;23/07/2020;1029
845;H;23/07/2020;375
846;I;23/07/2020;452
847;J;23/07/2020;2282
848;K;23/07/2020;1131
849;M;23/07/2020;488
850;N;23/07/2020;793
851;O;23/07/2020;700
852;A;24/07/2020;991
853;B;24/07/2020;474
854;C;24/07/2020;654
855;D;24/07/2020;188
856;E;24/07/2020;325
857;F;24/07/2020;391
858;G;24/07/2020;859
859;H;24/07/2020;296
860;I;24/07/2020;390
861;J;24/07/2020;1953
862;K;24/07/2020;908
863;L;24/07/2020;245
864;M;24/07/2020;467
865;N;24/07/2020;661
866;O;24/07/2020;702
867;A;27/07/2020;973
868;B;27/07/2020;458
869;C;27/07/2020;623
870;D;27/07/2020;280
871;E;27/07/2020;360
872;F;27/07/2020;216
873;G;27/07/2020;936
874;H;27/07/2020;369
875;I;27/07/2020;368
876;J;27/07/2020;1827
877;K;27/07/2020;915
878;L;27/07/2020;147
879;M;27/07/2020;543
880;N;27/07/2020;595
881;O;27/07/2020;976
882;A;28/07/2020;1107
883;B;28/07/2020;460
884;C;28/07/2020;583
885;D;28/07/2020;261
886;E;28/07/2020;381
887;F;28/07/2020;298
888;G;28/07/2020;961
889;H;28/07/2020;369
890;I;28/07/2020;427
891;J;28/07/2020;1902
892;K;28/07/2020;1286
893;L;28/07/2020;12
894;M;28/07/2020;714
895;N;28/07/2020;385
896;O;28/07/2020;557
897;A;29/07/2020;1309
898;B;29/07/2020;578
899;C;29/07/2020;604
900;D;29/07/2020;260
901;E;29/07/2020;429
902;F;29/07/2020;286
903;G;29/07/2020;915
904;H;29/07/2020;359
905;I;29/07/2020;457
906;J;29/07/2020;1791
907;K;29/07/2020;993
908;L;29/07/2020;2
909;M;29/07/2020;686
910;N;29/07/2020;324
911;O;29/07/2020;475
912;A;30/07/2020;934
913;B;30/07/2020;425
914;C;30/07/2020;657
915;D;30/07/2020;241
916;E;30/07/2020;340
917;F;30/07/2020;305
918;G;30/07/2020;886
919;H;30/07/2020;345
920;I;30/07/2020;472
921;J;30/07/2020;1702
922;K;30/07/2020;958
923;L;30/07/2020;443
924;M;30/07/2020;556
925;N;30/07/2020;312
926;O;30/07/2020;495
927;A;31/07/2020;893
928;B;31/07/2020;479
929;C;31/07/2020;620
930;D;31/07/2020;195
931;E;31/07/2020;303
932;F;31/07/2020;365
933;G;31/07/2020;865
934;H;31/07/2020;293
935;I;31/07/2020;326
936;J;31/07/2020;1285
937;K;31/07/2020;973
938;M;31/07/2020;437
939;N;31/07/2020;307
940;O;31/07/2020;552
941;N;01/08/2020;1
942;A;03/08/2020;1157
943;B;03/08/2020;511
944;C;03/08/2020;479
945;D;03/08/2020;335
946;E;03/08/2020;363
947;F;03/08/2020;326
948;G;03/08/2020;928
949;H;03/08/2020;369
950;I;03/08/2020;488
951;J;03/08/2020;2318
952;K;03/08/2020;1
953;L;03/08/2020;222
954;M;03/08/2020;505
955;N;03/08/2020;321
956;O;03/08/2020;876
957;A;04/08/2020;1030
958;B;04/08/2020;523
959;C;04/08/2020;519
960;D;04/08/2020;320
961;E;04/08/2020;362
962;F;04/08/2020;261
963;G;04/08/2020;1047
964;H;04/08/2020;417
965;I;04/08/2020;399
966;J;04/08/2020;1593
967;K;04/08/2020;1266
968;L;04/08/2020;2501
969;M;04/08/2020;545
970;N;04/08/2020;272
971;O;04/08/2020;295
972;A;05/08/2020;1269
973;B;05/08/2020;619
974;C;05/08/2020;467
975;D;05/08/2020;311
976;E;05/08/2020;342
977;F;05/08/2020;355
978;G;05/08/2020;1053
979;H;05/08/2020;392
980;I;05/08/2020;426
981;J;05/08/2020;1773
982;K;05/08/2020;2
983;M;05/08/2020;566
984;N;05/08/2020;237
985;A;06/08/2020;1141
986;B;06/08/2020;562
987;C;06/08/2020;547
988;D;06/08/2020;329
989;E;06/08/2020;361
990;F;06/08/2020;446
991;G;06/08/2020;1083
992;H;06/08/2020;414
993;I;06/08/2020;406
994;J;06/08/2020;1866
995;K;06/08/2020;1105
996;L;06/08/2020;136
997;M;06/08/2020;393
998;N;06/08/2020;215
999;O;06/08/2020;1279
1000;A;07/08/2020;1018
1001;B;07/08/2020;484
1002;C;07/08/2020;682
1003;D;07/08/2020;286
1004;E;07/08/2020;292
1005;F;07/08/2020;441
1006;G;07/08/2020;957
1007;H;07/08/2020;389
1008;I;07/08/2020;499
1009;J;07/08/2020;1982
1010;K;07/08/2020;14
1011;M;07/08/2020;456
1012;N;07/08/2020;217
1013;O;07/08/2020;518
1014;A;10/08/2020;1214
1015;B;10/08/2020;579
1016;C;10/08/2020;540
1017;D;10/08/2020;278
1018;E;10/08/2020;286
1019;F;10/08/2020;257
1020;G;10/08/2020;997
1021;H;10/08/2020;411
1022;I;10/08/2020;409
1023;J;10/08/2020;1686
1024;K;10/08/2020;1129
1025;L;10/08/2020;1273
1026;M;10/08/2020;524
1027;N;10/08/2020;231
1028;O;10/08/2020;864
1029;A;11/08/2020;1103
1030;B;11/08/2020;517
1031;C;11/08/2020;658
1032;D;11/08/2020;325
1033;E;11/08/2020;421
1034;F;11/08/2020;295
1035;G;11/08/2020;968
1036;H;11/08/2020;369
1037;I;11/08/2020;398
1038;J;11/08/2020;1698
1039;K;11/08/2020;1364
1040;L;11/08/2020;243
1041;M;11/08/2020;510
1042;N;11/08/2020;401
1043;O;11/08/2020;629
1044;A;12/08/2020;1141
1045;B;12/08/2020;529
1046;C;12/08/2020;632
